sk_customer,sk_product,sk_region,sk_shipping,Sales,Quantity,Discount,Profit
43,93,41,46,5.682,1,0.7,-3.788
44,94,30,47,96.53,7,0.0,40.5426
45,95,35,48,51.312,3,0.2,17.9592
46,96,42,49,77.88,6,0.0,22.5852
47,97,27,50,64.624,7,0.2,22.6184
47,98,27,50,95.976,3,0.2,-10.7973
47,99,27,50,1.788,3,0.8,-3.0396
48,100,39,51,23.92,4,0.0,11.7208
49,101,43,52,238.896,6,0.2,-26.8758
49,102,43,52,102.36,3,0.2,-3.8385
49,103,43,52,36.882,3,0.7,-25.8174
50,104,44,53,74.112,8,0.2,17.6016
50,105,44,53,27.992,1,0.2,2.0994
50,106,44,53,3.304,1,0.2,1.0738
51,107,45,54,339.96,5,0.2,67.992
52,108,46,55,41.96,2,0.0,10.9096
53,109,47,56,75.96,2,0.0,22.788
53,110,47,56,27.24,6,0.0,13.3476
54,111,48,57,40.096,14,0.2,14.5348
54,112,48,57,4.72,2,0.2,1.652
54,113,48,57,23.976,3,0.2,7.4925
54,114,48,57,130.464,6,0.2,44.0316
55,115,6,58,787.53,3,0.0,165.3813
56,116,49,59,157.794,1,0.7,-115.7156
57,117,50,37,47.04,3,0.0,18.3456
57,9,50,37,30.84,4,0.0,13.878
57,118,50,37,226.56,6,0.0,63.4368
57,119,50,37,115.02,9,0.0,51.759
57,120,50,37,68.04,7,0.0,19.7316
58,121,17,60,600.558,3,0.3,-8.5794
59,122,51,61,617.7,6,0.5,-407.682
60,123,52,46,2.388,2,0.7,-1.8308
60,124,52,46,243.992,7,0.2,30.499
61,65,26,62,81.424,2,0.2,-9.1602
61,125,26,62,81.424,2,0.2,-9.1602
61,126,26,62,238.56,3,0.0,26.2416
62,127,48,63,59.97,5,0.4,-11.994
62,128,48,63,78.304,2,0.2,29.364
62,568,48,63,78.304,2,0.2,29.364
62,129,48,63,21.456,9,0.2,6.9732
63,130,53,64,20.04,3,0.0,9.6192
63,131,53,64,35.44,1,0.0,16.6568
63,132,53,64,11.52,4,0.0,3.456
63,1580,53,64,11.52,4,0.0,3.456
63,133,53,64,4.02,2,0.0,1.9698
63,134,53,64,76.176,3,0.2,26.6616
63,135,53,64,65.88,6,0.0,18.4464
63,51,53,64,43.12,14,0.0,20.6976
64,29,12,65,82.8,2,0.2,10.35
64,1339,12,65,82.8,2,0.2,10.35
65,136,35,21,8.82,3,0.0,2.3814
65,137,35,21,10.86,3,0.0,5.1042
65,138,35,21,143.7,3,0.0,68.976
66,139,54,66,839.43,3,0.0,218.2518
67,83,55,67,671.93,7,0.0,20.1579
68,140,56,68,93.888,4,0.2,12.9096
69,141,57,69,384.45,11,0.0,103.8015
69,142,57,69,149.97,3,0.0,5.9988
69,2,57,69,1951.84,8,0.0,585.552
69,143,57,69,171.55,5,0.0,80.6285
70,144,58,70,157.92,5,0.2,17.766
70,145,58,70,203.184,2,0.2,15.2388
71,146,59,71,58.38,7,0.0,26.271
71,147,59,71,105.52,4,0.0,48.5392
71,148,59,71,80.88,6,0.0,21.0288
72,149,60,72,6.63,3,0.0,1.7901
73,121,61,73,457.568,2,0.2,51.4764
74,150,62,74,14.62,2,0.0,6.8714
74,151,62,74,944.93,7,0.0,236.2325
75,152,63,75,5.98,1,0.0,2.691
76,153,64,76,54.384,2,0.2,1.3596
77,154,65,77,28.4,5,0.0,13.348
78,155,61,78,27.68,2,0.2,9.688
79,156,66,79,9.936,3,0.2,2.7324
79,157,66,79,8159.952,8,0.4,-1359.992
79,158,66,79,275.928,3,0.2,-58.6347
79,159,66,79,1740.06,9,0.3,-24.858
79,160,66,79,32.064,6,0.2,6.8136
79,161,66,79,177.98,5,0.8,-453.849
79,162,66,79,143.976,3,0.2,8.9985
80,163,26,80,20.94,3,0.0,9.8418
80,1324,26,80,20.94,3,0.0,9.8418
80,164,26,80,110.96,2,0.0,53.2608
80,165,26,80,340.144,7,0.2,21.259
81,166,37,81,52.448,2,0.8,-131.12
81,167,37,81,20.16,4,0.2,6.552
82,168,67,82,97.264,4,0.8,-243.16
33,169,56,83,396.802,7,0.3,-11.3372
33,170,56,83,15.88,5,0.2,-3.7715
83,171,30,84,3.28,1,0.0,1.4104
84,172,68,85,24.816,2,0.2,1.8612
84,173,68,85,408.744,7,0.2,76.6395
85,174,69,86,503.96,4,0.0,131.0296
85,175,69,86,149.95,5,0.0,41.986
85,176,69,86,29.0,2,0.0,7.25
86,177,70,87,7.16,2,0.0,3.4368
87,178,4,88,176.8,8,0.0,22.984
88,179,71,20,37.224,3,0.2,3.7224
88,146,71,20,20.016,3,0.2,6.255
89,180,46,89,899.136,4,0.2,112.392
89,181,46,89,71.76,6,0.0,20.0928
89,182,46,89,51.84,8,0.0,24.8832
89,38,46,89,626.352,3,0.2,46.9764
89,183,46,89,19.9,5,0.0,6.567
90,30,72,90,14.28,7,0.0,6.7116
91,184,73,91,7.408,2,0.2,1.2038
91,185,73,91,6.048,3,0.2,1.5876
92,186,74,92,46.26,3,0.0,12.0276
93,187,75,93,2.946,2,0.7,-2.2586
93,188,75,93,16.056,3,0.2,5.8203
94,189,76,94,21.744,3,0.2,6.795
95,190,77,95,218.75,2,0.5,-161.875
95,191,77,95,2.6,1,0.2,0.2925
96,192,78,96,66.284,2,0.8,-178.9668
97,193,79,97,35.168,7,0.2,9.6712
98,194,80,98,444.768,4,0.2,44.4768
99,195,81,99,83.92,4,0.0,5.8744
99,196,81,99,131.98,2,0.0,35.6346
99,123,81,99,15.92,4,0.0,7.4824
99,197,81,99,52.29,9,0.0,16.2099
99,198,81,99,91.99,1,0.0,3.6796
100,199,78,100,20.8,2,0.2,6.5
101,200,82,101,23.68,2,0.2,8.88
101,201,82,101,452.45,5,0.5,-244.323
101,105,82,101,62.982,3,0.4,-14.6958
101,202,82,101,1188.0,9,0.7,-950.4
101,203,82,101,89.584,2,0.2,4.4792
102,179,4,102,93.06,6,0.0,26.0568
102,204,4,102,302.376,3,0.2,22.6782
103,205,83,103,5.584,2,0.2,1.8148
103,206,83,103,22.704,6,0.2,8.2302
103,92,83,103,19.776,4,0.7,-13.8432
103,207,83,103,72.704,4,0.2,19.0848
103,208,83,103,479.988,4,0.7,-383.9904
103,1577,83,103,479.988,4,0.7,-383.9904
103,209,83,103,27.168,2,0.2,2.7168
104,210,84,104,2.2,1,0.0,0.968
104,211,84,104,622.45,5,0.0,136.939
104,212,84,104,21.98,1,0.0,0.2198
105,213,85,105,161.568,2,0.2,-28.2744
105,214,85,105,389.696,8,0.2,43.8408
106,215,44,106,18.648,7,0.7,-12.432
38,216,86,107,233.86,2,0.45,-102.048
38,217,86,107,620.6145,3,0.45,-248.2458
38,215,86,107,5.328,2,0.7,-3.552
38,218,86,107,258.072,3,0.2,0.0
38,1615,86,107,258.072,3,0.2,0.0
38,219,86,107,617.976,3,0.2,-7.7247
38,466,86,107,617.976,3,0.2,-7.7247
107,220,87,108,10.56,2,0.0,4.752
108,221,27,109,25.92,5,0.2,9.396
108,222,27,109,419.68,5,0.6,-356.728
108,223,27,109,11.688,3,0.6,-4.6752
108,224,27,109,31.984,2,0.2,11.1944
108,225,27,109,177.225,5,0.5,-120.513
108,226,27,109,4.044,3,0.6,-2.8308
108,184,27,109,7.408,2,0.2,1.2038
109,121,88,110,2001.86,7,0.0,580.5394
109,227,88,110,166.72,2,0.0,41.68
109,228,88,110,47.88,6,0.0,23.94
109,229,88,110,1503.25,5,0.0,496.0725
109,182,88,110,25.92,4,0.0,12.4416
110,230,10,111,321.568,2,0.2,28.1372
111,231,89,112,7.61,1,0.0,3.5767
111,219,89,112,3347.37,13,0.0,636.0003
111,466,89,112,3347.37,13,0.0,636.0003
112,232,24,113,80.58,6,0.0,22.5624
112,453,24,113,80.58,6,0.0,22.5624
112,233,24,113,361.92,4,0.0,162.864
113,226,37,114,12.132,9,0.6,-8.4924
113,234,37,114,82.368,2,0.2,-19.5624
113,148,37,114,53.92,5,0.2,4.044
113,235,37,114,647.904,6,0.2,56.6916
114,236,30,115,20.37,3,0.0,6.9258
114,237,30,115,221.55,3,0.0,6.6465
114,238,30,115,17.52,5,0.2,6.132
115,239,90,116,1.624,2,0.8,-4.466
116,157,67,117,3059.982,3,0.4,-509.997
116,240,67,117,2519.958,7,0.4,-251.9958
117,241,27,118,328.224,4,0.2,28.7196
118,242,91,119,79.9,2,0.0,35.156
119,243,92,120,14.016,3,0.2,4.7304
39,244,93,121,7.56,6,0.0,0.3024
120,245,94,122,37.208,1,0.2,-7.4416
120,246,94,122,57.576,3,0.2,21.591
121,247,95,123,725.84,4,0.0,210.4936
67,248,10,124,209.93,7,0.0,92.3692
67,249,10,124,5.28,3,0.0,2.3232
67,250,10,124,10.92,3,0.2,4.095
122,251,96,125,8.82,2,0.0,4.0572
122,252,96,125,5.98,1,0.0,1.5548
123,253,12,126,11.648,2,0.2,4.0768
123,254,12,126,18.176,4,0.2,5.9072
123,255,12,126,59.712,6,0.2,5.9712
123,256,12,126,24.84,3,0.2,8.694
57,257,33,127,2.08,5,0.8,-3.432
57,258,33,127,1114.4,7,0.2,376.11
124,259,26,90,1038.84,5,0.2,51.942
15,260,41,128,141.76,5,0.2,47.844
15,261,41,128,239.8,5,0.2,47.96
15,262,41,128,31.104,6,0.2,10.8864
125,263,97,129,254.058,7,0.7,-169.372
125,168,97,129,194.528,2,0.2,24.316
125,264,97,129,961.48,5,0.2,-204.3145
126,265,48,130,19.096,7,0.2,6.6836
126,266,48,130,18.496,8,0.2,6.2424
126,267,48,130,255.984,2,0.2,54.3966
126,268,48,130,86.97,3,0.5,-48.7032
127,269,98,131,300.416,8,0.2,78.8592
127,979,98,131,300.416,8,0.2,78.8592
127,270,98,131,230.352,3,0.2,20.1558
127,271,98,131,218.352,3,0.2,-24.5646
127,272,98,131,78.6,5,0.7,-62.88
127,273,98,131,27.552,3,0.2,9.2988
64,274,99,132,32.4,5,0.0,15.552
64,275,99,132,1082.48,8,0.0,10.8248
64,276,99,132,56.91,3,0.0,27.3168
64,277,99,132,77.6,4,0.0,38.024
64,278,99,132,14.28,1,0.0,6.5688
102,279,37,133,219.075,3,0.5,-131.445
128,280,24,134,26.8,2,0.0,12.864
34,281,100,135,9.84,3,0.0,2.8536
129,282,101,136,45.48,3,0.0,20.9208
129,283,101,136,289.2,6,0.0,83.868
130,284,102,137,4.89,1,0.0,2.0049
131,285,103,138,15.136,4,0.2,3.5948
131,286,103,138,466.768,2,0.2,52.5114
131,287,103,138,15.232,1,0.2,1.7136
131,288,103,138,6.264,3,0.2,2.0358
132,289,104,139,87.54,3,0.0,37.6422
133,290,105,140,178.384,2,0.2,22.298
133,291,105,140,15.552,3,0.2,5.4432
134,292,106,141,99.136,4,0.2,8.6744
135,293,24,142,135.882,1,0.1,24.1568
135,294,24,142,3991.98,2,0.0,1995.99
135,41,24,142,275.94,6,0.0,80.0226
135,295,24,142,360.0,4,0.0,129.6
135,124,24,142,43.57,1,0.0,13.071
136,296,107,143,7.16,2,0.0,3.58
137,272,108,144,251.52,6,0.2,81.744
137,297,108,144,99.99,1,0.0,34.9965
138,298,109,145,15.992,1,0.2,0.9995
139,299,106,146,290.898,3,0.4,-67.8762
139,300,106,146,54.224,2,0.2,3.389
139,301,106,146,786.744,4,0.3,-258.5016
139,302,106,146,100.24,10,0.2,33.831
139,303,106,146,37.764,6,0.7,-27.6936
140,304,64,147,82.8,2,0.4,-20.7
140,305,64,147,20.724,2,0.7,-13.816
140,306,64,147,4.896,3,0.7,-3.4272
141,307,63,148,4.752,1,0.2,1.6038
141,308,63,148,959.984,2,0.2,335.9944
141,309,63,148,14.368,4,0.2,4.49
142,310,35,149,7.712,2,0.2,2.7956
142,311,35,149,698.352,3,0.2,-17.4588
108,312,110,150,4.96,4,0.0,2.3312
64,313,12,151,17.856,4,0.2,1.116
64,14,12,151,509.97,10,0.7,-407.976
64,129,12,151,30.992,13,0.2,10.0724
64,314,12,151,71.928,12,0.4,8.3916
80,18,111,152,88.8,4,0.2,-2.22
143,127,35,153,47.976,3,0.2,4.7976
144,185,112,154,7.56,3,0.0,3.0996
144,34,112,154,24.56,2,0.0,11.5432
144,315,112,154,12.96,2,0.0,4.1472
145,236,30,155,6.79,1,0.0,2.3086
145,316,30,155,24.56,2,0.0,11.5432
145,368,30,155,24.56,2,0.0,11.5432
145,317,30,155,3.048,1,0.2,1.0668
145,318,30,155,4355.168,4,0.2,1415.4296
146,319,46,156,388.704,6,0.2,-4.8588
146,320,46,156,8.26,2,0.0,3.7996
146,321,46,156,17.04,4,0.0,6.9864
146,322,46,156,34.4,5,0.0,15.824
97,189,44,157,36.24,5,0.2,11.325
147,323,113,158,647.84,8,0.0,168.4384
147,324,113,158,20.7,2,0.0,9.936
148,324,30,159,20.7,2,0.0,9.936
148,325,30,159,488.646,3,0.1,86.8704
148,326,30,159,5.56,2,0.0,1.4456
148,327,30,159,47.12,8,0.0,20.7328
149,46,10,160,211.96,4,0.0,8.4784
150,328,114,161,23.2,4,0.0,10.44
150,329,114,161,7.36,2,0.0,0.1472
150,330,114,161,104.79,7,0.0,29.3412
150,38,114,161,1043.92,4,0.0,271.4192
151,331,115,162,25.92,5,0.2,9.396
151,332,115,162,53.424,3,0.2,4.6746
152,306,116,163,8.16,5,0.7,-5.712
152,333,116,163,1023.936,8,0.2,179.1888
152,334,116,163,9.24,1,0.2,0.924
152,335,116,163,479.04,10,0.2,-29.94
153,336,117,164,99.136,4,0.2,30.98
154,337,118,165,1488.424,7,0.3,-297.6848
155,338,15,29,8.652,3,0.8,-20.3322
155,339,15,29,23.832,3,0.2,2.6811
155,340,15,29,12.176,4,0.8,-18.8728
156,341,10,166,50.96,7,0.0,25.48
156,342,10,166,49.536,3,0.2,17.3376
157,343,100,167,41.9,2,0.0,8.799
158,344,119,168,375.4575,3,0.45,-157.0095
158,345,119,168,83.976,3,0.2,-1.0497
159,346,12,169,482.34,4,0.7,-337.638
159,347,12,169,2.96,1,0.2,0.777
160,348,94,170,2.624,1,0.2,0.4264
161,349,30,171,23.36,4,0.2,7.884
161,85,30,171,39.98,2,0.0,13.5932
162,350,120,172,246.384,2,0.2,27.7182
162,351,120,172,1799.97,3,0.0,701.9883
163,352,121,173,12.462,3,0.8,-20.5623
164,353,122,174,75.792,3,0.2,25.5798
165,354,123,175,49.96,2,0.0,9.4924
165,355,123,175,12.96,2,0.0,6.2208
7,356,31,176,70.12,4,0.0,21.036
166,357,67,177,35.952,3,0.2,3.5952
166,27,67,177,2396.2656,4,0.32,-317.1528
166,358,67,177,131.136,4,0.2,-32.784
166,359,67,177,57.584,2,0.2,0.7198
167,360,124,178,9.568,2,0.2,3.4684
71,361,125,179,39.072,6,0.2,9.768
168,362,24,180,35.91,3,0.0,9.6957
169,359,95,181,179.95,5,0.0,37.7895
169,363,95,181,1199.976,3,0.2,434.9913
169,364,95,181,27.15,5,0.0,13.3035
169,365,95,181,1004.024,7,0.2,-112.9527
169,366,95,181,9.68,1,0.0,4.6464
169,367,95,181,28.35,9,0.0,13.608
169,316,95,181,55.98,1,0.0,27.4302
169,368,95,181,55.98,1,0.0,27.4302
169,369,95,181,1336.829,13,0.15,31.4548
169,370,95,181,113.568,2,0.2,-18.4548
170,371,60,182,139.86,7,0.0,65.7342
170,270,60,182,307.136,4,0.2,26.8744
171,372,126,183,95.92,8,0.0,25.8984
172,373,26,184,383.8,5,0.2,38.38
147,374,127,185,5.78,1,0.0,2.8322
134,375,63,186,9.32,4,0.0,2.7028
134,376,63,186,15.25,1,0.0,7.015
33,377,128,187,196.752,6,0.2,56.5662
173,378,129,188,56.56,4,0.0,14.7056
173,379,129,188,32.7,3,0.0,8.502
174,380,130,189,866.4,4,0.0,225.264
26,381,131,190,28.4,2,0.0,11.076
26,382,131,190,287.92,8,0.0,138.2016
175,383,132,191,69.99,1,0.0,30.0957
176,384,66,192,6.672,6,0.2,0.5004
177,385,133,193,189.588,2,0.7,-145.3508
177,173,133,193,408.744,7,0.2,76.6395
177,386,133,193,4.768,2,0.2,-0.7748
73,387,112,194,714.3,5,0.0,207.147
178,388,134,195,4.812,2,0.7,-3.6892
178,389,134,195,247.8,5,0.2,-18.585
179,390,37,196,1007.979,3,0.3,43.1991
179,316,37,196,313.488,7,0.2,113.6394
179,368,37,196,313.488,7,0.2,113.6394
180,391,33,197,31.872,8,0.2,11.5536
52,392,24,198,207.846,3,0.1,2.3094
8,393,84,65,12.22,1,0.0,3.666
8,394,84,65,194.94,3,0.0,23.3928
8,395,84,65,70.95,3,0.0,20.5755
8,396,84,65,91.36,4,0.0,42.0256
8,397,84,65,242.94,3,0.0,29.1528
8,398,84,65,22.05,7,0.0,10.584
181,399,135,199,2.91,1,0.0,1.3677
182,400,136,200,59.52,3,0.0,15.4752
182,401,136,200,161.94,3,0.0,9.7164
182,402,136,200,263.88,6,0.0,71.2476
182,403,136,200,30.48,3,0.0,7.9248
182,404,136,200,9.84,3,0.0,2.8536
182,405,136,200,35.12,4,0.0,9.1312
183,11,76,201,284.364,2,0.4,-75.8304
183,406,76,201,665.408,2,0.2,66.5408
176,407,137,26,63.88,4,0.0,24.9132
184,408,138,202,129.568,2,0.2,-24.294
174,409,68,203,747.558,3,0.3,-96.1146
174,410,68,203,8.928,2,0.2,3.348
99,411,61,204,103.92,4,0.0,36.372
99,412,61,204,899.91,9,0.0,377.9622
99,413,61,204,51.312,3,0.2,18.6006
185,327,52,205,23.56,5,0.2,7.068
185,414,52,205,1272.63,6,0.5,-814.4832
185,415,52,205,28.485,5,0.7,-20.889
185,416,52,205,185.376,2,0.2,-34.758
185,417,52,205,78.272,2,0.2,5.8704
186,271,139,206,254.744,7,0.6,-312.0614
104,418,140,207,205.3328,2,0.32,-36.2352
114,419,27,129,4.788,3,0.8,-7.9002
187,420,141,152,55.48,1,0.0,26.6304
188,421,95,208,340.92,3,0.0,3.4092
188,422,95,208,222.666,2,0.15,10.4784
188,423,95,208,703.968,4,0.2,87.996
188,424,95,208,92.52,6,0.0,24.9804
188,425,95,208,62.65,7,0.0,28.819
188,426,95,208,94.85,5,0.0,45.528
121,427,142,209,95.76,6,0.2,7.182
189,280,25,210,40.2,3,0.0,19.296
190,428,24,211,14.7,5,0.0,6.615
190,429,24,211,704.25,5,0.0,84.51
191,430,143,212,9.09,3,0.0,1.9089
191,430,236,212,9.09,3,0.0,1.9089
192,80,24,163,5.96,2,0.0,1.6688
192,431,24,163,159.98,2,0.0,57.5928
193,432,63,213,29.6,2,0.0,14.8
193,433,63,213,514.165,5,0.15,-30.245
193,434,63,213,279.96,5,0.2,17.4975
194,435,27,214,2735.952,6,0.2,341.994
195,436,144,215,7.992,1,0.2,0.5994
195,437,144,215,63.984,2,0.2,10.3974
195,402,144,215,70.368,2,0.2,6.1572
196,438,145,81,449.15,5,0.0,8.983
196,439,145,81,11.07,3,0.0,5.0922
197,440,61,216,93.98,2,0.0,13.1572
198,441,32,217,189.882,3,0.4,-94.941
199,442,146,18,105.42,2,0.0,51.6558
184,443,147,218,119.616,8,0.2,40.3704
184,444,147,218,255.76,4,0.0,81.8432
184,1761,147,218,255.76,4,0.0,81.8432
184,293,147,218,241.568,2,0.2,18.1176
184,445,147,218,69.3,9,0.0,22.869
200,446,148,219,22.62,2,0.7,-15.08
200,447,148,219,14.952,2,0.7,-11.9616
200,448,148,219,801.568,2,0.2,50.098
200,449,148,219,2.376,3,0.7,-1.9008
200,450,148,219,32.792,1,0.2,11.8871
200,1256,148,219,32.792,1,0.2,11.8871
183,123,24,220,15.92,5,0.2,5.373
201,451,149,221,2.74,1,0.0,0.7398
201,452,149,221,8.34,3,0.0,2.1684
201,232,149,221,46.74,3,0.0,11.685
201,453,149,221,46.74,3,0.0,11.685
201,454,149,221,6354.95,5,0.0,3177.475
202,455,150,222,126.3,3,0.0,40.416
202,456,150,222,38.04,2,0.0,12.1728
167,80,56,223,7.152,3,0.2,0.7152
203,457,14,224,6.63,3,0.0,1.7901
203,458,14,224,5.88,2,0.0,1.7052
58,459,151,225,2999.95,5,0.0,1379.977
58,460,151,225,51.45,3,0.0,13.8915
58,461,151,225,11.96,2,0.0,5.382
58,462,151,225,1126.02,3,0.0,56.301
204,44,17,226,18.392,1,0.2,5.2877
204,463,17,226,129.568,2,0.2,-25.9136
204,464,17,226,14.112,9,0.8,-21.168
205,441,152,227,210.98,2,0.0,21.098
110,465,4,228,55.176,3,0.2,-12.4146
110,219,4,228,66.26,2,0.0,27.1666
110,466,4,228,66.26,2,0.0,27.1666
206,467,129,229,22.2,5,0.0,10.434
207,468,153,230,683.952,3,0.2,42.747
207,287,153,230,45.696,3,0.2,5.1408
208,469,64,231,36.336,3,0.2,-7.2672
208,470,64,231,666.248,1,0.2,-149.9058
208,471,64,231,52.512,6,0.2,19.692
209,472,2,232,190.72,1,0.2,11.92
210,473,4,233,47.94,3,0.0,2.397
211,474,154,234,979.95,5,0.0,274.386
211,250,154,234,22.75,5,0.0,11.375
212,475,155,235,16.768,2,0.2,1.4672
213,476,156,236,42.616,7,0.8,-68.1856
89,477,30,237,10.752,4,0.2,3.36
214,478,1,238,152.94,3,0.0,41.2938
214,479,1,238,283.92,4,0.0,70.98
215,480,157,239,468.9,6,0.0,206.316
21,481,116,240,380.864,8,0.2,38.0864
216,438,158,241,646.776,9,0.2,-145.5246
39,482,7,242,58.112,2,0.2,7.264
39,483,7,242,100.792,1,0.2,6.2995
39,484,7,242,66.112,4,0.6,-84.2928
217,485,46,243,41.28,6,0.2,13.932
217,486,46,243,13.36,2,0.0,6.4128
159,55,156,244,250.272,9,0.2,15.642
159,93,156,244,11.364,3,0.8,-17.046
159,487,156,244,8.72,5,0.2,-1.744
218,488,95,245,1121.568,2,0.2,0.0
54,489,134,246,34.504,1,0.2,6.0382
219,490,33,53,10.824,3,0.2,2.5707
159,491,159,247,1295.78,2,0.0,310.9872
220,492,125,248,19.456,4,0.2,3.4048
221,493,63,249,20.7,2,0.0,9.936
221,494,63,249,1335.68,4,0.2,-217.048
221,495,63,249,32.4,5,0.0,15.552
222,381,95,250,42.6,3,0.0,16.614
222,496,95,250,84.056,7,0.2,27.3182
223,497,86,251,13.0,5,0.2,1.3
223,498,86,251,13.128,3,0.2,3.7743
224,499,60,252,3.96,2,0.0,0.0
224,288,60,252,2.61,1,0.0,1.2006
225,500,142,253,374.376,3,0.2,46.797
226,501,60,192,91.84,8,0.0,45.0016
226,502,60,192,81.088,7,0.2,27.3672
226,503,60,192,19.44,3,0.0,9.3312
226,504,60,192,451.152,3,0.2,0.0
227,493,24,254,72.45,7,0.0,34.776
227,205,24,254,13.96,4,0.0,6.4216
227,307,24,254,33.264,7,0.2,11.2266
227,505,24,254,14.85,3,0.0,4.0095
228,506,160,255,8.82,3,0.0,2.3814
229,501,107,256,160.72,14,0.0,78.7528
229,507,107,256,19.92,4,0.0,9.7608
229,508,107,256,7.3,2,0.0,2.19
230,124,27,257,69.712,2,0.2,8.714
230,509,27,257,8.792,1,0.6,-5.7148
231,510,26,258,51.52,4,0.0,1.5456
232,35,77,259,470.376,3,0.2,52.9173
232,511,77,259,105.584,2,0.2,9.2386
232,96,77,259,31.152,3,0.2,3.5046
232,512,77,259,6.783,7,0.7,-4.7481
232,145,77,259,406.368,4,0.2,30.4776
